sep=,
session,mirrorFirst,ID,boxes,imistake,pred,prob,type,taskName,CR1,CR2,CR3,sex,major,math,economics,cuM,cuL,precisionL,precisionM,similarity,attnBoxL,attnBoxM,attnPayL,attnPayM,repeated,mirror,lottery,r_mirror,r_lottery,time_mirror,time_lottery,time_r_mirror,time_r_lottery,noiseL,noiseM,noise,elicitation,multiplier,treatment
0,TRUE,1094386993,100,TRUE,0,50,A,A10,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,39,0,0,20.000000000000014,120.49999999999743,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,0,50,A,A15,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,33,0,0,36.900000000000254,73.80000000000008,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,2.5,10,G,G10,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,12.5,0,0,315.50000000000324,10.799999999999978,NA,NA,0,0,0,MPL,1,student
0,TRUE,1094386993,100,TRUE,6.5,25,G,G25,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,19.5,0,0,22.900000000000055,187.59999999999363,NA,NA,0,0,0,MPL,1,student
0,TRUE,1094386993,100,TRUE,12.5,50,G,G50,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,9.5,0,0,42.90000000000034,19.1,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,18.5,75,G,G75,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,14.5,0,0,16.89999999999997,13.599999999999968,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,22.5,90,G,G90,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,20.5,0,0,35.30000000000023,25.100000000000087,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,-2.5,10,L,L10,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-9.5,0,0,22.300000000000047,33.2000000000002,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,-6.5,25,L,L25,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-5.5,0,0,50.400000000000446,15.69999999999996,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,-12.5,50,L,L50,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-17.5,-17.5,0,0,489.80000000004287,34.800000000000225,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1094386993,100,TRUE,-18.5,75,L,L75,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-15.5,0,0,38.80000000000028,17.099999999999973,NA,NA,0,0,0,MPL,1,student
0,TRUE,1094386993,100,TRUE,-22.5,90,L,L90,4,20,7000,Female,Science/Engineering,Two or more university-level courses,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-12.5,0,0,35.40000000000023,28.700000000000138,NA,NA,0,0,0,MPL,1,student
0,TRUE,1237904110,100,TRUE,0,50,A,A10,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,11,0,0,28.500000000000135,15.299999999999962,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,0,50,A,A15,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,17,0,0,28.500000000000135,17.099999999999973,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,2.5,10,G,G10,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,2.5,0,0,20.900000000000027,17.799999999999983,NA,NA,0,0,0,MPL,1,student
0,TRUE,1237904110,100,TRUE,6.5,25,G,G25,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,6.5,0,0,30.30000000000016,16.09999999999996,NA,NA,0,0,0,MPL,1,student
0,TRUE,1237904110,100,TRUE,12.5,50,G,G50,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,13.5,0,0,7.499999999999989,10.599999999999978,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,18.5,75,G,G75,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,18.5,0,0,16.29999999999996,9.99999999999998,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,22.5,90,G,G90,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,22.5,0,0,23.20000000000006,15.399999999999961,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,-2.5,10,L,L10,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-13.5,-2.5,0,0,30.90000000000017,12.199999999999973,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,-6.5,25,L,L25,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-6.5,0,0,22.50000000000005,19.900000000000013,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,-12.5,50,L,L50,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-12.5,0,0,31.500000000000178,12.599999999999971,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1237904110,100,TRUE,-18.5,75,L,L75,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-18.5,0,0,57.10000000000054,131.6999999999968,NA,NA,0,0,0,MPL,1,student
0,TRUE,1237904110,100,TRUE,-22.5,90,L,L90,4,0,7000,Male,Business/Economics,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-22.5,0,0,72.30000000000017,23.30000000000006,NA,NA,0,0,0,MPL,1,student
0,TRUE,1281944696,100,TRUE,0,50,A,A10,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,15,0,0,43.300000000000345,63.40000000000063,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,0,50,A,A15,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,15,0,0,37.80000000000027,53.800000000000495,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,2.5,10,G,G10,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,2.5,0,0,25.600000000000094,39.9000000000003,NA,NA,0,0,0,MPL,1,student
0,TRUE,1281944696,100,TRUE,6.5,25,G,G25,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,7.5,0,0,41.30000000000032,75.00000000000001,NA,NA,0,0,0,MPL,1,student
0,TRUE,1281944696,100,TRUE,12.5,50,G,G50,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,12.5,0,0,34.800000000000225,25.800000000000097,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,18.5,75,G,G75,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,19.5,0,0,48.300000000000416,61.80000000000061,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,22.5,90,G,G90,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,19.5,0,0,37.90000000000027,24.60000000000008,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,-2.5,10,L,L10,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-5.5,0,0,172.79999999999447,49.600000000000435,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,-6.5,25,L,L25,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-5.5,0,0,20.800000000000026,54.4000000000005,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,-12.5,50,L,L50,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-13.5,0,0,22.40000000000005,83.79999999999951,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1281944696,100,TRUE,-18.5,75,L,L75,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-18.5,0,0,39.40000000000029,43.70000000000035,NA,NA,0,0,0,MPL,1,student
0,TRUE,1281944696,100,TRUE,-22.5,90,L,L90,4 days,10,7000,Male,Foreign Language,Single university-level course,No course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-20.5,0,0,70.60000000000026,68.00000000000041,NA,NA,0,0,0,MPL,1,student
0,FALSE,1285665697,100,TRUE,0,50,A,A10,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,45,0,0,12.79999999999997,22.700000000000053,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,0,50,A,A15,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,29,0,0,13.499999999999968,30.800000000000168,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,2.5,10,G,G10,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,9.5,0,0,13.599999999999968,30.100000000000158,NA,NA,0,0,0,MPL,1,student
0,FALSE,1285665697,100,TRUE,6.5,25,G,G25,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,0.5,0,0,11.899999999999974,26.200000000000102,NA,NA,0,0,0,MPL,1,student
0,FALSE,1285665697,100,TRUE,12.5,50,G,G50,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,11.5,0,0,9.89999999999998,20.200000000000017,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,18.5,75,G,G75,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,19.5,0,0,23.000000000000057,9.399999999999983,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,22.5,90,G,G90,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,9.5,0,0,18.499999999999993,13.799999999999967,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,-2.5,10,L,L10,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-15.5,0,0,5.4999999999999964,31.00000000000017,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,-6.5,25,L,L25,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-13.5,-15.5,0,0,13.199999999999969,12.99999999999997,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,-12.5,50,L,L50,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-20.5,0,0,22.000000000000043,12.99999999999997,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1285665697,100,TRUE,-18.5,75,L,L75,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-17.5,0,0,17.799999999999983,12.299999999999972,NA,NA,0,0,0,MPL,1,student
0,FALSE,1285665697,100,TRUE,-22.5,90,L,L90,4 days,20,7000,Female,Science/Engineering,Single university-level course,High school,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-19.5,0,0,22.300000000000047,10.19999999999998,NA,NA,0,0,0,MPL,1,student
0,TRUE,1301658746,100,TRUE,0,50,A,A10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,9,0,0,154.09999999999553,41.900000000000325,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,0,50,A,A15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,15,0,0,37.700000000000266,68.80000000000037,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,2.5,10,G,G10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,2.5,0,0,55.80000000000052,30.500000000000163,NA,NA,0,0,0,MPL,1,student
0,TRUE,1301658746,100,TRUE,6.5,25,G,G25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,6.5,0,0,20.600000000000023,17.099999999999973,NA,NA,0,0,0,MPL,1,student
0,TRUE,1301658746,100,TRUE,12.5,50,G,G50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,12.5,0,0,22.50000000000005,21.00000000000003,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,18.5,75,G,G75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,15.5,0,0,47.0000000000004,49.20000000000043,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,22.5,90,G,G90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,22.5,0,0,42.80000000000034,23.30000000000006,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,-2.5,10,L,L10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-2.5,0,0,17.799999999999983,20.900000000000027,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,-6.5,25,L,L25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-6.5,0,0,61.70000000000061,34.30000000000022,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,-12.5,50,L,L50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-12.5,0,0,22.60000000000005,24.800000000000082,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1301658746,100,TRUE,-18.5,75,L,L75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-12.5,0,0,34.900000000000226,14.099999999999966,NA,NA,0,0,0,MPL,1,student
0,TRUE,1301658746,100,TRUE,-22.5,90,L,L90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-22.5,0,0,38.50000000000028,28.400000000000134,NA,NA,0,0,0,MPL,1,student
0,FALSE,1315111442,100,TRUE,0,50,A,A10,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,35,0,0,80.19999999999972,51.100000000000456,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,0,50,A,A15,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,17,0,0,69.30000000000034,43.80000000000035,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,2.5,10,G,G10,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,13.5,0,0,14.599999999999964,58.60000000000056,NA,NA,0,0,0,MPL,1,student
0,FALSE,1315111442,100,TRUE,6.5,25,G,G25,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0.5,0,0,26.200000000000102,29.100000000000144,NA,NA,0,0,0,MPL,1,student
0,FALSE,1315111442,100,TRUE,12.5,50,G,G50,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,14.5,0,0,31.300000000000175,44.40000000000036,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,18.5,75,G,G75,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.5,9.5,0,0,29.200000000000145,69.10000000000035,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,22.5,90,G,G90,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.5,14.5,0,0,26.200000000000102,42.10000000000033,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,-2.5,10,L,L10,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-14.5,0,0,30.600000000000165,69.50000000000033,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,-6.5,25,L,L25,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-19.5,-15.5,0,0,30.500000000000163,67.90000000000042,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,-12.5,50,L,L50,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-17.5,0,0,47.0000000000004,39.100000000000286,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1315111442,100,TRUE,-18.5,75,L,L75,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-16.5,-20.5,0,0,37.700000000000266,39.000000000000284,NA,NA,0,0,0,MPL,1,student
0,FALSE,1315111442,100,TRUE,-22.5,90,L,L90,8 days,30,7000,Female,Government,Single university-level course,Single university-level course,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-22.5,0,0,52.20000000000047,131.19999999999683,NA,NA,0,0,0,MPL,1,student
0,TRUE,1588097997,100,TRUE,0,50,A,A10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,19,0,0,128.69999999999698,24.300000000000075,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,0,50,A,A15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,29,0,0,125.59999999999714,11.999999999999973,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,2.5,10,G,G10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.5,3.5,0,0,34.40000000000022,9.599999999999982,NA,NA,0,0,0,MPL,1,student
0,TRUE,1588097997,100,TRUE,6.5,25,G,G25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.5,5.5,0,0,45.00000000000037,67.60000000000043,NA,NA,0,0,0,MPL,1,student
0,TRUE,1588097997,100,TRUE,12.5,50,G,G50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.5,7.5,0,0,28.700000000000138,18.099999999999987,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,18.5,75,G,G75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.5,3.5,0,0,22.60000000000005,9.799999999999981,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,22.5,90,G,G90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22.5,13.5,0,0,17.59999999999998,17.49999999999998,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,-2.5,10,L,L10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.5,-11.5,0,0,18.699999999999996,21.500000000000036,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,-6.5,25,L,L25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-6.5,-13.5,0,0,132.29999999999677,15.399999999999961,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,-12.5,50,L,L50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-12.5,-12.5,0,0,22.000000000000043,6.499999999999993,NA,NA,0,0,0,MPL,-1,student
0,TRUE,1588097997,100,TRUE,-18.5,75,L,L75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-18.5,-15.5,0,0,47.400000000000404,23.30000000000006,NA,NA,0,0,0,MPL,1,student
0,TRUE,1588097997,100,TRUE,-22.5,90,L,L90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-22.5,-21.5,0,0,78.89999999999979,15.79999999999996,NA,NA,0,0,0,MPL,1,student
0,FALSE,1786329554,100,TRUE,0,50,A,A10,4 days,$10,"$7,000",Female,Business/Economics,Two or more university-level courses,Two or more university-level courses,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,31,0,0,28.000000000000128,22.50000000000005,NA,NA,0,0,0,MPL,-1,student
0,FALSE,1786329554,100,TRUE,0,50,A,A15,4 days,$10,"$7,000",Female,Business/Economics,Two or more university-level courses,Two or more university-level courses,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,29,0,0,39.800000000000296,210.29999999999234,NA,NA,0,0,0,MPL,-1,student
